velvet-buzzsaw,34%(M) -- 45%(I)
the-hate-u-give,52%(M) -- 41%(I)
red-sparrow,37%(M) -- 28%(I)
widows-2018,66%(M) -- 66%(I)
they-shall-not-grow-old,56%(M) -- 48%(I)
can-you-ever-forgive-me,57%(M) -- 57%(I)
the-white-sheik,56%(M) -- 55%(I)
mother-2017-1,52%(M) -- 45%(I)
if-beale-street-could-talk,79%(M) -- 86%(I)
cam,49%(M) -- 34%(I)
fyre-2019,42%(M) -- 59%(I)
a-quiet-place-2018,66%(M) -- 57%(I)
destroyer-2018,32%(M) -- 36%(I)
the-old-man-the-gun,61%(M) -- 56%(I)
la-story,45%(M) -- 50%(I)
fahrenheit-11-9,56%(M) -- 45%(I)
trafic,52%(M) -- 55%(I)
rojo-2018,38%(M) -- 40%(I)
the-cotton-club,56%(M) -- 61%(I)
guilty-of-romance,65%(M) -- 54%(I)
virgin-stripped-bare-by-her-bachelors,46%(M) -- 45%(I)
late-afternoon,60%(M) -- 53%(I)
bilby,55%(M) -- 51%(I)
animal-behaviour,39%(M) -- 35%(I)
one-small-step-2018,55%(M) -- 45%(I)
weekends-2017,52%(M) -- 45%(I)
the-sisters-brothers,66%(M) -- 64%(I)
playtime,79%(M) -- 82%(I)
vice-2018,47%(M) -- 52%(I)
black-mirror-bandersnatch,39%(M) -- 52%(I)
mon-oncle,63%(M) -- 78%(I)
mid90s,75%(M) -- 65%(I)
laurence-anyways,83%(M) -- 83%(I)
green-book,55%(M) -- 33%(I)
bad-times-at-the-el-royale,67%(M) -- 60%(I)
andhadhun,59%(M) -- 45%(I)
in-the-shadow-of-women,59%(M) -- 57%(I)
skate-kitchen,60%(M) -- 68%(I)
the-image-book,62%(M) -- 77%(I)
assassination-nation,39%(M) -- 33%(I)
venom-2018,23%(M) -- 31%(I)
black-sheep-2018,51%(M) -- 43%(I)
a-night-at-the-garden,40%(M) -- 37%(I)
ready-player-one,43%(M) -- 27%(I)
the-guilty-2018,58%(M) -- 57%(I)
lagaan-once-upon-a-time-in-india,70%(M) -- 56%(I)
searching-2018,54%(M) -- 47%(I)
lean-on-pete,67%(M) -- 71%(I)
batman-ninja,37%(M) -- 36%(I)
ralph-breaks-the-internet,52%(M) -- 47%(I)
puzzle-2018,50%(M) -- 40%(I)
love-simon,38%(M) -- 48%(I)
the-belko-experiment,44%(M) -- 39%(I)
ghost-stories-2017,38%(M) -- 36%(I)
the-happytime-murders,37%(M) -- 36%(I)
mary-and-the-witchs-flower,41%(M) -- 47%(I)
dont-torture-a-duckling,63%(M) -- 64%(I)
merry-christmas-mr-lawrence,59%(M) -- 65%(I)
the-endless,44%(M) -- 51%(I)
himizu,57%(M) -- 51%(I)
i-confess,59%(M) -- 58%(I)
fantastic-beasts-the-crimes-of-grindelwald,27%(M) -- 27%(I)
jane-fonda-in-five-acts,61%(M) -- 54%(I)
the-ballad-of-buster-scruggs,78%(M) -- 68%(I)
apostle-2018,46%(M) -- 42%(I)
blindspotting,82%(M) -- 62%(I)
24-frames,76%(M) -- 73%(I)
galveston,35%(M) -- 38%(I)
the-miseducation-of-cameron-post,59%(M) -- 73%(I)
shirkers,67%(M) -- 71%(I)
adam-sandler-100-fresh,53%(M) -- 47%(I)
crazy-rich-asians,47%(M) -- 50%(I)
theyll-love-me-when-im-dead,47%(M) -- 52%(I)
the-other-side-of-the-wind,71%(M) -- 56%(I)
the-kindergarten-teacher-2018,48%(M) -- 58%(I)
juliet-naked,44%(M) -- 37%(I)
ichi-the-killer,49%(M) -- 59%(I)
22-july,42%(M) -- 43%(I)
sorry-to-bother-you,73%(M) -- 59%(I)
hearts-beat-loud,57%(M) -- 53%(I)
slice-2018,36%(M) -- 35%(I)
dont-worry-he-wont-get-far-on-foot,39%(M) -- 43%(I)
happy-as-lazzaro,81%(M) -- 87%(I)
damsel-2018,40%(M) -- 37%(I)
gringo-2018,29%(M) -- 35%(I)
private-life-2018,61%(M) -- 69%(I)
future-world,38%(M) -- 36%(I)
ismaels-ghosts,58%(M) -- 48%(I)
nancy,59%(M) -- 47%(I)
mandy-2018,49%(M) -- 67%(I)
eighth-grade,80%(M) -- 69%(I)
dreams,72%(M) -- 65%(I)
hotel-artemis,34%(M) -- 39%(I)
the-third-murder,39%(M) -- 38%(I)
three-identical-strangers,52%(M) -- 67%(I)
support-the-girls,58%(M) -- 62%(I)
leave-no-trace,46%(M) -- 54%(I)
my-neighbors-the-yamadas,67%(M) -- 66%(I)
the-crucified-lovers,60%(M) -- 53%(I)
aria,42%(M) -- 36%(I)
the-land-of-steady-habits,42%(M) -- 36%(I)
i-think-were-alone-now-2018,39%(M) -- 33%(I)
le-corbeau,69%(M) -- 65%(I)
terminal-2018,34%(M) -- 35%(I)
unsane,46%(M) -- 60%(I)
teen-titans-go-to-the-movies,49%(M) -- 46%(I)
upgrade,55%(M) -- 46%(I)
oceans-eight,28%(M) -- 28%(I)
the-wicker-man,68%(M) -- 74%(I)
tully-2018,63%(M) -- 54%(I)
the-bow,56%(M) -- 54%(I)
the-catcher-was-a-spy,37%(M) -- 37%(I)
billionaire-boys-club-2018,24%(M) -- 25%(I)
investigation-of-a-citizen-above-suspicion,71%(M) -- 72%(I)
godard-mon-amour,44%(M) -- 39%(I)
paterno,40%(M) -- 36%(I)
sierra-burgess-is-a-loser,28%(M) -- 33%(I)
yourself-and-yours,55%(M) -- 54%(I)
god-told-me-to,60%(M) -- 62%(I)
lost-in-london-2017,52%(M) -- 51%(I)
the-house-by-the-cemetery,46%(M) -- 56%(I)
game-night,58%(M) -- 54%(I)
the-man-with-the-golden-arm,56%(M) -- 57%(I)
oculus,46%(M) -- 51%(I)
the-tale,53%(M) -- 65%(I)
pulse-2001,67%(M) -- 54%(I)
broken-arrow-1996,43%(M) -- 43%(I)
bullet-in-the-head,52%(M) -- 51%(I)
on-the-beach-at-night-alone,68%(M) -- 77%(I)
summer-of-84,39%(M) -- 35%(I)
beyond-the-hills,63%(M) -- 55%(I)
the-insult,56%(M) -- 64%(I)
robin-williams-come-inside-my-mind,52%(M) -- 47%(I)
honey-i-shrunk-the-kids,35%(M) -- 27%(I)
sleepaway-camp,38%(M) -- 40%(I)
gemini-2017,38%(M) -- 44%(I)
prom-night,46%(M) -- 47%(I)
inside-2007,36%(M) -- 46%(I)
ju-dou,59%(M) -- 58%(I)
a-wrinkle-in-time-2018,28%(M) -- 35%(I)
cold-war-2018,87%(M) -- 84%(I)
swamp-thing,38%(M) -- 36%(I)
birds-of-passage-2018,77%(M) -- 72%(I)
wildlife-2018,64%(M) -- 65%(I)
diamantino-2018,59%(M) -- 57%(I)
dogman-2018,59%(M) -- 66%(I)
too-late-to-die-young,62%(M) -- 63%(I)
the-people-under-the-stairs,48%(M) -- 41%(I)
blackkklansman,85%(M) -- 84%(I)
pride-prejudice,69%(M) -- 72%(I)
the-rider,70%(M) -- 79%(I)
a-snake-of-june,50%(M) -- 60%(I)
to-all-the-boys-ive-loved-before,39%(M) -- 40%(I)
no-retreat-no-surrender,38%(M) -- 38%(I)
sundays-illness,54%(M) -- 48%(I)
the-guernsey-literary-potato-peel-pie-society,41%(M) -- 36%(I)
the-devil-and-father-amorth,30%(M) -- 35%(I)
let-the-sunshine-in,63%(M) -- 74%(I)
free-fire,36%(M) -- 42%(I)
the-bookshop,42%(M) -- 46%(I)
stage-fright-1987,48%(M) -- 56%(I)
dark-river-2017,44%(M) -- 43%(I)
the-stranger,56%(M) -- 59%(I)
revenge-2017,46%(M) -- 52%(I)
san-andreas,22%(M) -- 24%(I)
mary-shelley,51%(M) -- 51%(I)
duck-butter,41%(M) -- 41%(I)
their-finest,56%(M) -- 46%(I)
great-expectations,68%(M) -- 64%(I)
paddington-2,72%(M) -- 59%(I)
the-earrings-of-madame-de,72%(M) -- 69%(I)
the-great-train-robbery,54%(M) -- 61%(I)
meet-me-in-st-louis,64%(M) -- 49%(I)
bugsy-malone,53%(M) -- 40%(I)
i-feel-pretty,33%(M) -- 41%(I)
us-and-them-2018,60%(M) -- 44%(I)
downsizing,33%(M) -- 50%(I)
ant-man-and-the-wasp,26%(M) -- 22%(I)
donkey-skin,70%(M) -- 80%(I)
suburbicon,29%(M) -- 36%(I)
tau-2018,37%(M) -- 36%(I)
mom-and-dad-2017,36%(M) -- 50%(I)
beauty-and-the-beast,78%(M) -- 86%(I)
last-flag-flying,51%(M) -- 41%(I)
incredibles-2,69%(M) -- 41%(I)
bao-2018,58%(M) -- 46%(I)
set-it-up,44%(M) -- 44%(I)
carmen-jones,42%(M) -- 37%(I)
the-foreigner-2017,27%(M) -- 25%(I)
the-witches,40%(M) -- 54%(I)
stronger,44%(M) -- 43%(I)
perfect-strangers-2017,40%(M) -- 37%(I)
ken-park,41%(M) -- 43%(I)
you-were-never-really-here,70%(M) -- 85%(I)
alex-strangelove,30%(M) -- 37%(I)
in-the-fade,59%(M) -- 54%(I)
in-the-realm-of-the-senses,49%(M) -- 78%(I)
the-party-2017,46%(M) -- 56%(I)
romance-1999,48%(M) -- 53%(I)
anon,31%(M) -- 36%(I)
la-collectionneuse,68%(M) -- 70%(I)
the-story-of-adele-h,64%(M) -- 70%(I)
son-of-saul,61%(M) -- 72%(I)
how-to-talk-to-girls-at-parties,33%(M) -- 35%(I)
wonder-wheel,45%(M) -- 49%(I)
onibaba,70%(M) -- 69%(I)
thoroughbreds-2017,50%(M) -- 59%(I)
person-to-person-2017,47%(M) -- 47%(I)
psychokinesis,38%(M) -- 34%(I)
i-kill-giants,31%(M) -- 29%(I)
film-stars-dont-die-in-liverpool,35%(M) -- 39%(I)
golden-exits,42%(M) -- 50%(I)
summer-with-monika,79%(M) -- 80%(I)
deadpool-2,37%(M) -- 31%(I)
the-week-of,49%(M) -- 38%(I)
monsieur-lazhar,38%(M) -- 35%(I)
lilting,57%(M) -- 49%(I)
double-lover,59%(M) -- 49%(I)
mayhem-2017,29%(M) -- 33%(I)
i-was-born-but,64%(M) -- 65%(I)
good-morning,75%(M) -- 82%(I)
i-am-love,56%(M) -- 60%(I)
lone-wolf-and-cub-sword-of-vengeance,63%(M) -- 58%(I)
vanya-on-42nd-street,42%(M) -- 51%(I)
ministry-of-fear,57%(M) -- 67%(I)
jeepers-creepers-3,37%(M) -- 32%(I)
6-balloons,36%(M) -- 30%(I)
seth-rogens-hilarity-for-charity,39%(M) -- 34%(I)
una-2016,35%(M) -- 54%(I)
the-dinner-2017,46%(M) -- 48%(I)
happy-anniversary-2018,38%(M) -- 36%(I)
the-mystery-of-picasso,59%(M) -- 63%(I)
wind-river-2017,61%(M) -- 49%(I)
the-book-of-henry,32%(M) -- 36%(I)
winged-migration,58%(M) -- 48%(I)
cult-of-chucky,41%(M) -- 33%(I)
the-other-side-of-hope,66%(M) -- 75%(I)
mysterious-object-at-noon,60%(M) -- 62%(I)
ricky-gervais-humanity,39%(M) -- 38%(I)
creep-2,35%(M) -- 37%(I)
rememory,39%(M) -- 37%(I)
the-death-of-stalin,71%(M) -- 72%(I)
no-home-movie,44%(M) -- 42%(I)
wonderstruck,49%(M) -- 49%(I)
me-myself-and-mum,41%(M) -- 40%(I)
emo-the-musical,29%(M) -- 35%(I)
darkest-hour,36%(M) -- 24%(I)
the-breadwinner,56%(M) -- 59%(I)
i-love-you-daddy,42%(M) -- 42%(I)
black-panther,60%(M) -- 39%(I)
gifted-2017,49%(M) -- 47%(I)
bubba-ho-tep,56%(M) -- 46%(I)
chris-rock-tamborine,61%(M) -- 53%(I)
the-boss-baby,23%(M) -- 20%(I)
lucky-2017,58%(M) -- 70%(I)
1922-2017,31%(M) -- 33%(I)
marshall,37%(M) -- 40%(I)
a-coffee-in-berlin-2012,57%(M) -- 73%(I)
78-52,57%(M) -- 58%(I)
roman-j-israel-esq,40%(M) -- 37%(I)
2-days-in-paris,46%(M) -- 42%(I)
when-we-first-met,30%(M) -- 38%(I)
a-futile-and-stupid-gesture,39%(M) -- 34%(I)
newness,51%(M) -- 36%(I)
defending-your-life,58%(M) -- 52%(I)
il-sorpasso,69%(M) -- 75%(I)
the-most-beautiful,41%(M) -- 36%(I)
lola,67%(M) -- 71%(I)
meantime,58%(M) -- 55%(I)
on-body-and-soul,77%(M) -- 85%(I)
the-cloverfield-paradox,27%(M) -- 31%(I)
the-post-2017,62%(M) -- 45%(I)
the-polka-king,41%(M) -- 36%(I)
lost-in-america,53%(M) -- 44%(I)
ali-fear-eats-the-soul,80%(M) -- 82%(I)
abacus-small-enough-to-jail,57%(M) -- 48%(I)
garden-party-2017,56%(M) -- 57%(I)
lou-2017,60%(M) -- 49%(I)
dear-basketball,53%(M) -- 45%(I)
lady-macbeth,57%(M) -- 60%(I)
companeros,60%(M) -- 48%(I)
mollys-game,49%(M) -- 61%(I)
super-dark-times,41%(M) -- 38%(I)
the-phantom-of-liberty,68%(M) -- 69%(I)
wormwood,58%(M) -- 48%(I)
bpm-beats-per-minute,65%(M) -- 71%(I)
labyrinth-of-passion,43%(M) -- 60%(I)
brads-status,53%(M) -- 41%(I)
kidnap-2017,30%(M) -- 38%(I)
patti-cakes,57%(M) -- 48%(I)
faces-places,76%(M) -- 89%(I)
the-florida-project,89%(M) -- 85%(I)
coco-2017,76%(M) -- 52%(I)
the-room,39%(M) -- 40%(I)
the-bar,39%(M) -- 40%(I)
a-foreign-affair,42%(M) -- 38%(I)
menashe,34%(M) -- 36%(I)
i-tonya,58%(M) -- 61%(I)
strong-island,60%(M) -- 52%(I)
the-time-machine,33%(M) -- 27%(I)
marjorie-prime,45%(M) -- 40%(I)
the-incredible-shrinking-man,63%(M) -- 61%(I)
christmas-inheritance,39%(M) -- 36%(I)
loveless-2017,81%(M) -- 84%(I)
dark-star,51%(M) -- 59%(I)
thelma-2017,73%(M) -- 75%(I)
the-hidden,58%(M) -- 48%(I)
victoria-abdul,33%(M) -- 29%(I)
the-wizard-of-lies,43%(M) -- 40%(I)
la-bamba,51%(M) -- 42%(I)
american-made,31%(M) -- 33%(I)
prevenge,42%(M) -- 36%(I)
sweet-bean,62%(M) -- 63%(I)
david-lynch-the-art-life,58%(M) -- 69%(I)
my-life-without-me,58%(M) -- 55%(I)
kedi-2016,53%(M) -- 52%(I)
harry-dean-stanton-partly-fiction,55%(M) -- 54%(I)
a-christmas-prince,40%(M) -- 39%(I)
logan-lucky,59%(M) -- 63%(I)
cameraperson,73%(M) -- 76%(I)
detroit,45%(M) -- 66%(I)
the-babysitter-2017,31%(M) -- 34%(I)
columbus-2017,77%(M) -- 70%(I)
the-bad-batch,40%(M) -- 42%(I)
american-assassin,29%(M) -- 35%(I)
mudbound,70%(M) -- 60%(I)
jim-andy-the-great-beyond,51%(M) -- 53%(I)
blade-of-the-immortal,37%(M) -- 34%(I)
first-they-killed-my-father,48%(M) -- 41%(I)
bitch-2017,44%(M) -- 39%(I)
sid-nancy,44%(M) -- 49%(I)
beach-rats,49%(M) -- 60%(I)
chimes-at-midnight,63%(M) -- 64%(I)
landline,54%(M) -- 45%(I)
brigsby-bear,49%(M) -- 53%(I)
bright-star,63%(M) -- 69%(I)
a-boy-and-his-dog,49%(M) -- 56%(I)
the-villainess,54%(M) -- 47%(I)
tour-de-pharmacy,55%(M) -- 55%(I)
spielberg,55%(M) -- 46%(I)
john-wick-chapter-2,51%(M) -- 38%(I)
the-big-sick,63%(M) -- 65%(I)
gasman,60%(M) -- 58%(I)
brawl-in-cell-block-99,56%(M) -- 46%(I)
the-crimson-kimono,58%(M) -- 59%(I)
black-sunday-1960,60%(M) -- 61%(I)
atomic-blonde,46%(M) -- 36%(I)
isle-of-flowers,65%(M) -- 70%(I)
71-fragments-of-a-chronology-of-chance,61%(M) -- 73%(I)
before-i-fall,30%(M) -- 33%(I)
the-silence-of-the-sea,70%(M) -- 75%(I)
long-shot-2017,49%(M) -- 45%(I)
the-meyerowitz-stories-new-and-selected,72%(M) -- 78%(I)
i-vitelloni,76%(M) -- 76%(I)
thunder-1982,62%(M) -- 65%(I)
the-grey,53%(M) -- 58%(I)
yojimbo,69%(M) -- 59%(I)
cat-people,66%(M) -- 71%(I)
band-aid,48%(M) -- 48%(I)
the-selfish-giant-2013,69%(M) -- 74%(I)
alien-covenant,37%(M) -- 34%(I)
heli,44%(M) -- 49%(I)
black-death,50%(M) -- 32%(I)
the-wailing,72%(M) -- 79%(I)
the-amputee,38%(M) -- 47%(I)
the-alphabet,54%(M) -- 60%(I)
battle-royale-ii-requiem,43%(M) -- 50%(I)
labyrinth,51%(M) -- 54%(I)
charlotte-and-her-boyfriend,41%(M) -- 39%(I)
a-scene-at-the-sea,61%(M) -- 59%(I)
all-eyez-on-me,37%(M) -- 36%(I)
kingsman-the-golden-circle,28%(M) -- 29%(I)
slack-bay,62%(M) -- 73%(I)
death-note-light-up-the-new-world,40%(M) -- 32%(I)
2036-nexus-dawn,40%(M) -- 30%(I)
jerry-before-seinfeld,59%(M) -- 43%(I)
nocturama,62%(M) -- 61%(I)
graduation-2016,66%(M) -- 63%(I)
the-brothers-grimm,42%(M) -- 47%(I)
bright-lights-starring-carrie-fisher-and-debbie-reynolds,41%(M) -- 36%(I)
moby-dick,55%(M) -- 58%(I)
bleed-for-this,31%(M) -- 35%(I)
billy-lynns-long-halftime-walk,35%(M) -- 35%(I)
waltz-with-bashir,68%(M) -- 73%(I)
an-exercise-in-discipline-peel,44%(M) -- 39%(I)
a-cure-for-wellness,50%(M) -- 50%(I)
the-snowman,54%(M) -- 47%(I)
when-the-wind-blows,67%(M) -- 70%(I)
heat-1995,69%(M) -- 73%(I)
valhalla-rising,40%(M) -- 51%(I)
get-carter,58%(M) -- 56%(I)
what-happened-to-monday,30%(M) -- 23%(I)
the-driver,63%(M) -- 62%(I)
the-decameron,65%(M) -- 71%(I)
berlin-syndrome,35%(M) -- 48%(I)
escape-from-new-york,53%(M) -- 69%(I)
the-swimming-pool,60%(M) -- 55%(I)
the-day-after-2017,68%(M) -- 68%(I)
a-quiet-passion,66%(M) -- 78%(I)
the-beguiled-2017,55%(M) -- 58%(I)
sand-castle-2017,41%(M) -- 39%(I)
i-am-not-your-negro,69%(M) -- 76%(I)
death-note-2017,31%(M) -- 36%(I)
wrong-move,58%(M) -- 58%(I)
the-secret-of-nimh,54%(M) -- 56%(I)
the-circle,61%(M) -- 51%(I)
saturday-night-and-sunday-morning,64%(M) -- 68%(I)
to-the-bone-2017,38%(M) -- 37%(I)
the-summit-2017,46%(M) -- 47%(I)
murmur-of-the-heart,78%(M) -- 76%(I)
the-discovery,47%(M) -- 50%(I)
icarus-2017,57%(M) -- 49%(I)
rabid,50%(M) -- 57%(I)
mississippi-mermaid,61%(M) -- 60%(I)
baby-driver,56%(M) -- 67%(I)
valerian-and-the-city-of-a-thousand-planets,29%(M) -- 26%(I)
manhunter,53%(M) -- 50%(I)
open-hearts,66%(M) -- 72%(I)
chinese-roulette,48%(M) -- 57%(I)
in-a-heartbeat,55%(M) -- 43%(I)
american-pastoral,37%(M) -- 51%(I)
the-times-of-harvey-milk,67%(M) -- 67%(I)
iboy,31%(M) -- 42%(I)
catfight,36%(M) -- 35%(I)
maniac-1980,40%(M) -- 40%(I)
embrace-of-the-serpent,76%(M) -- 84%(I)
daughters-of-the-dust,69%(M) -- 63%(I)
the-33,30%(M) -- 35%(I)
the-monster-2016,37%(M) -- 39%(I)
little-men-2016,60%(M) -- 56%(I)
the-void-2016,38%(M) -- 36%(I)
its-only-the-end-of-the-world,56%(M) -- 64%(I)
salt-and-fire,38%(M) -- 36%(I)
rams,50%(M) -- 37%(I)
the-lure,59%(M) -- 65%(I)
julieta,60%(M) -- 68%(I)
the-circle-2017,32%(M) -- 36%(I)
in-a-valley-of-violence,52%(M) -- 47%(I)
triple-9,25%(M) -- 30%(I)
colossal-2016,51%(M) -- 45%(I)
anthropoid,52%(M) -- 46%(I)
sandy-wexler,38%(M) -- 37%(I)
the-greasy-strangler,59%(M) -- 53%(I)
sing-2016,39%(M) -- 32%(I)
taxi-2015,83%(M) -- 85%(I)
win-it-all,40%(M) -- 41%(I)
kicks-2016,53%(M) -- 43%(I)
casting-jonbenet,48%(M) -- 51%(I)
imperial-dreams,54%(M) -- 48%(I)
war-machine-2017,39%(M) -- 39%(I)
goat-2016,38%(M) -- 36%(I)
31-2016,44%(M) -- 36%(I)
mike-and-dave-need-wedding-dates,29%(M) -- 26%(I)
monster-trucks,30%(M) -- 35%(I)
passengers-2016,25%(M) -- 21%(I)
tramps-2016,42%(M) -- 42%(I)
christine-2016,61%(M) -- 76%(I)
naked,76%(M) -- 83%(I)
big-little-lies,61%(M) -- 62%(I)
the-merchant-of-four-seasons,57%(M) -- 53%(I)
year-of-the-dragon,51%(M) -- 46%(I)
king-cobra-2016,39%(M) -- 36%(I)
the-second-best-exotic-marigold-hotel,44%(M) -- 36%(I)
two-lovers-and-a-bear,40%(M) -- 44%(I)
the-yellow-sea,52%(M) -- 47%(I)
michael-boltons-big-sexy-valentines-day-special,52%(M) -- 39%(I)
sanjays-super-team,38%(M) -- 33%(I)
made-in-britain,49%(M) -- 47%(I)
tower-2016,76%(M) -- 69%(I)
guardians-of-the-galaxy-vol-2,48%(M) -- 37%(I)
nine-queens,58%(M) -- 51%(I)
the-boy-and-the-beast,56%(M) -- 46%(I)
the-best-exotic-marigold-hotel,27%(M) -- 26%(I)
the-salt-of-the-earth,62%(M) -- 61%(I)
into-the-forest,41%(M) -- 39%(I)
the-stuff,40%(M) -- 46%(I)
winter-sleep,76%(M) -- 82%(I)
under-the-shadow,61%(M) -- 52%(I)
mountains-may-depart,69%(M) -- 72%(I)
weiner,60%(M) -- 62%(I)
arabian-nights-volume-1-the-restless-one,63%(M) -- 61%(I)
within-our-gates,45%(M) -- 48%(I)
five-came-back-2017,53%(M) -- 47%(I)
chevalier,49%(M) -- 59%(I)
yoga-hosers,38%(M) -- 36%(I)
fire-at-sea,48%(M) -- 49%(I)
the-forbidden-room-2015,69%(M) -- 71%(I)
the-panic-in-needle-park,51%(M) -- 51%(I)
sound-of-my-voice,61%(M) -- 65%(I)
the-sacrament,45%(M) -- 54%(I)
pixote,59%(M) -- 61%(I)
on-golden-pond,56%(M) -- 48%(I)
the-salesman-2016,74%(M) -- 73%(I)
i-dont-feel-at-home-in-this-world-anymore,25%(M) -- 42%(I)
caddyshack,46%(M) -- 41%(I)
a-man-called-ove,44%(M) -- 35%(I)
life-animated,42%(M) -- 49%(I)
land-of-mine,59%(M) -- 53%(I)
gold-2016,39%(M) -- 36%(I)
20th-century-women,81%(M) -- 80%(I)
the-founder,33%(M) -- 38%(I)
hidden-figures,56%(M) -- 34%(I)
moana-2016,59%(M) -- 39%(I)
live-by-night,29%(M) -- 35%(I)
paterson,82%(M) -- 84%(I)
lion,68%(M) -- 54%(I)
the-edge-of-seventeen,67%(M) -- 61%(I)
allied,34%(M) -- 30%(I)
silence,81%(M) -- 75%(I)
kate-plays-christine,67%(M) -- 72%(I)
a-monster-calls,64%(M) -- 57%(I)
heaven-knows-what,73%(M) -- 85%(I)
the-red-turtle,78%(M) -- 70%(I)
patriots-day,35%(M) -- 37%(I)
i-daniel-blake,75%(M) -- 79%(I)
the-birth-of-a-nation-2016,43%(M) -- 38%(I)
american-honey,82%(M) -- 84%(I)
always-shine,60%(M) -- 63%(I)
war-on-everyone,37%(M) -- 44%(I)
borrowed-time-2015,52%(M) -- 44%(I)
piper,59%(M) -- 45%(I)
pearl-2016,53%(M) -- 44%(I)
the-girl-on-the-train-2016,30%(M) -- 25%(I)
operation-avalanche,57%(M) -- 57%(I)
tommy,55%(M) -- 48%(I)
spectral,53%(M) -- 43%(I)
being-17,47%(M) -- 36%(I)
trolls,31%(M) -- 25%(I)
fences-2016,62%(M) -- 63%(I)
the-hitch-hiker,45%(M) -- 52%(I)
nocturnal-animals,70%(M) -- 85%(I)
milk-2008,62%(M) -- 63%(I)
the-married-woman,64%(M) -- 65%(I)
trespass-against-us,45%(M) -- 53%(I)
hard-to-be-a-god,64%(M) -- 73%(I)
toni-erdmann,75%(M) -- 89%(I)
sand-storm,38%(M) -- 36%(I)
dont-think-twice,47%(M) -- 58%(I)
southside-with-you,44%(M) -- 36%(I)
poison-ivy-1992,42%(M) -- 50%(I)
other-people,57%(M) -- 59%(I)
indignation-2016,49%(M) -- 45%(I)
barry-2016,44%(M) -- 44%(I)
florence-foster-jenkins,40%(M) -- 34%(I)
captain-fantastic,58%(M) -- 64%(I)
hell-or-high-water,68%(M) -- 51%(I)
divines,75%(M) -- 68%(I)
sully,42%(M) -- 52%(I)
blue-jay-2016,56%(M) -- 78%(I)
dont-breathe-2016,57%(M) -- 56%(I)
loving-2016,47%(M) -- 51%(I)
miss-peregrines-home-for-peculiar-children,25%(M) -- 31%(I)
tickled,60%(M) -- 64%(I)
the-beaches-of-agnes,80%(M) -- 79%(I)
acera-or-the-witches-dance,48%(M) -- 62%(I)
nerve-2016,32%(M) -- 30%(I)
the-love-life-of-an-octopus,48%(M) -- 63%(I)
war-dogs-2016,27%(M) -- 25%(I)
elephant,54%(M) -- 69%(I)
careful,67%(M) -- 65%(I)
certain-women,67%(M) -- 71%(I)
hunt-for-the-wilderpeople,73%(M) -- 78%(I)
de-palma,50%(M) -- 59%(I)
warcraft,22%(M) -- 24%(I)
fantastic-beasts-and-where-to-find-them,35%(M) -- 27%(I)
christmas-in-august,57%(M) -- 50%(I)
independence-day-resurgence,27%(M) -- 22%(I)
daybreak-express,61%(M) -- 62%(I)
the-fits,64%(M) -- 77%(I)
colonia,28%(M) -- 33%(I)
beautiful-girls,48%(M) -- 47%(I)
one-week,57%(M) -- 54%(I)
krisha-2015,72%(M) -- 70%(I)
pushing-hands,54%(M) -- 45%(I)
i-am-the-pretty-thing-that-lives-in-the-house,42%(M) -- 34%(I)
47-meters-down,36%(M) -- 33%(I)
blood-father,42%(M) -- 38%(I)
tomorrowland,30%(M) -- 32%(I)
man-up,35%(M) -- 34%(I)
sausage-party,41%(M) -- 42%(I)
the-mermaid-2016,45%(M) -- 48%(I)
a-hologram-for-the-king,31%(M) -- 26%(I)
into-the-inferno,59%(M) -- 65%(I)
genius-2016,26%(M) -- 26%(I)
cafe-society-2016,60%(M) -- 59%(I)
the-gleaners-and-i,80%(M) -- 84%(I)
europa-europa,58%(M) -- 61%(I)
desperately-seeking-susan,56%(M) -- 47%(I)
grey-gardens,76%(M) -- 85%(I)
wonder-boys,57%(M) -- 49%(I)
mascots,43%(M) -- 50%(I)
the-death-of-louis-xiv,66%(M) -- 66%(I)
the-ornithologist,58%(M) -- 66%(I)
out-takes-from-the-life-of-a-happy-man,60%(M) -- 65%(I)
goodnight-mommy,45%(M) -- 52%(I)
sieranevada,69%(M) -- 69%(I)
hermia-helena,58%(M) -- 64%(I)
13th,70%(M) -- 74%(I)
pride-and-prejudice-and-zombies,29%(M) -- 38%(I)
home-2015,18%(M) -- 19%(I)
day-of-the-dead,57%(M) -- 59%(I)
amanda-knox,48%(M) -- 52%(I)
raman-raghav-20,60%(M) -- 53%(I)
neruda-2016,60%(M) -- 65%(I)
last-days-in-the-desert,52%(M) -- 43%(I)
the-baader-meinhof-complex,53%(M) -- 48%(I)
imperium,36%(M) -- 35%(I)
the-secret-life-of-pets,22%(M) -- 28%(I)
the-sea-of-trees,42%(M) -- 36%(I)
wiener-dog,56%(M) -- 70%(I)
love-friendship,67%(M) -- 66%(I)
the-man-who-knew-infinity,25%(M) -- 25%(I)
i-am-not-a-serial-killer,53%(M) -- 44%(I)
maggies-plan,33%(M) -- 42%(I)
morris-from-america,59%(M) -- 52%(I)
cemetery-of-splendor,83%(M) -- 82%(I)
everybody-wants-some,63%(M) -- 72%(I)
zoolander-2,32%(M) -- 34%(I)
midnight-special,52%(M) -- 65%(I)
central-intelligence,29%(M) -- 33%(I)
money-monster,28%(M) -- 41%(I)
