through-the-olive-trees,71%(M) -- 67%(I)
life-and-nothing-more,59%(M) -- 55%(I)
where-is-my-friends-house,62%(M) -- 55%(I)
naked-lunch,61%(M) -- 78%(I)
machuca,57%(M) -- 55%(I)
the-exorcist,79%(M) -- 75%(I)
shrek-2,70%(M) -- 39%(I)
rec-2,25%(M) -- 35%(I)
all-that-jazz,75%(M) -- 67%(I)
sunset-boulevard,86%(M) -- 91%(I)
close-up,87%(M) -- 90%(I)
never-rarely-sometimes-always,85%(M) -- 76%(I)
time-2020,56%(M) -- 76%(I)
the-father-2020,86%(M) -- 80%(I)
wolfwalkers,73%(M) -- 68%(I)
ma-raineys-black-bottom,48%(M) -- 68%(I)
another-round,78%(M) -- 87%(I)
nomadland,86%(M) -- 89%(I)
save-ralph,42%(M) -- 42%(I)
minari,76%(M) -- 76%(I)
crip-camp-a-disability-revolution,67%(M) -- 59%(I)
judas-and-the-black-messiah,83%(M) -- 74%(I)
my-octopus-teacher,51%(M) -- 59%(I)
m,84%(M) -- 86%(I)
promising-young-woman,58%(M) -- 69%(I)
the-trial-of-the-chicago-7,51%(M) -- 51%(I)
rec,52%(M) -- 39%(I)
madchen-in-uniform,58%(M) -- 58%(I)
lage-dor,66%(M) -- 68%(I)
un-chien-andalou,77%(M) -- 76%(I)
all-quiet-on-the-western-front,62%(M) -- 48%(I)
catch-me-if-you-can-2002,82%(M) -- 65%(I)
leon-the-professional,79%(M) -- 80%(I)
the-general,76%(M) -- 79%(I)
the-gold-rush,76%(M) -- 70%(I)
zama,61%(M) -- 67%(I)
the-secret-in-their-eyes,58%(M) -- 53%(I)
the-holy-girl,55%(M) -- 59%(I)
man-with-a-movie-camera,79%(M) -- 84%(I)
battleship-potemkin,79%(M) -- 79%(I)
pieces-of-a-woman,46%(M) -- 61%(I)
sound-of-metal,73%(M) -- 87%(I)
the-assistant-2019,54%(M) -- 70%(I)
zack-snyders-justice-league,67%(M) -- 46%(I)
a-short-film-about-love,76%(M) -- 77%(I)
a-short-film-about-killing,73%(M) -- 75%(I)
orpheus,67%(M) -- 76%(I)
women-reply,60%(M) -- 68%(I)
le-bonheur,76%(M) -- 80%(I)
la-pointe-courte,57%(M) -- 74%(I)
down-by-law,79%(M) -- 79%(I)
the-staggering-girl,55%(M) -- 56%(I)
dekalog,68%(M) -- 79%(I)
valparaiso-1963,60%(M) -- 65%(I)
taste-of-cherry,68%(M) -- 80%(I)
my-life-as-a-zucchini,62%(M) -- 66%(I)
girlhood-2014,60%(M) -- 73%(I)
tomboy-2011,67%(M) -- 77%(I)
decalogue-x,63%(M) -- 64%(I)
decalogue-ix,63%(M) -- 64%(I)
water-lilies,52%(M) -- 61%(I)
decalogue-viii,55%(M) -- 62%(I)
decalogue-vii,58%(M) -- 70%(I)
sherlock-jr,78%(M) -- 74%(I)
decalogue-vi,65%(M) -- 70%(I)
decalogue-v,63%(M) -- 62%(I)
safety-last,74%(M) -- 81%(I)
decalogue-iv,63%(M) -- 67%(I)
decalogue-iii,58%(M) -- 70%(I)
nosferatu,74%(M) -- 82%(I)
decalogue-ii,65%(M) -- 70%(I)
decalogue-i,70%(M) -- 76%(I)
the-kid,79%(M) -- 72%(I)
the-phantom-carriage,68%(M) -- 67%(I)
the-cabinet-of-dr-caligari-1920,82%(M) -- 83%(I)
soul-2020,86%(M) -- 79%(I)
the-wizard-of-oz-1939,81%(M) -- 76%(I)
after-hours,78%(M) -- 83%(I)
the-mole-agent,69%(M) -- 70%(I)
the-man-who-wasnt-there-2001,67%(M) -- 74%(I)
the-king-of-comedy,91%(M) -- 89%(I)
three-colors-red,88%(M) -- 83%(I)
three-colors-white,67%(M) -- 75%(I)
three-colors-blue,93%(M) -- 89%(I)
the-hudsucker-proxy,57%(M) -- 66%(I)
malcolm-marie,33%(M) -- 33%(I)
barton-fink,65%(M) -- 77%(I)
alps,57%(M) -- 66%(I)
millers-crossing,74%(M) -- 58%(I)
spider-man,59%(M) -- 53%(I)
justice-league,17%(M) -- 21%(I)
after-life,72%(M) -- 74%(I)
stranger-than-paradise,74%(M) -- 80%(I)
blood-simple,84%(M) -- 81%(I)
shortbus,54%(M) -- 42%(I)
come-and-see,84%(M) -- 93%(I)
uncut-gems,94%(M) -- 95%(I)
good-time,83%(M) -- 90%(I)
the-trial-of-joan-of-arc,61%(M) -- 57%(I)
jeanne-dielman-23-quai-du-commerce-1080-bruxelles,70%(M) -- 80%(I)
daisies,68%(M) -- 79%(I)
the-dark-knight-rises,75%(M) -- 55%(I)
je-tu-il-elle,63%(M) -- 69%(I)
nobody-knows,60%(M) -- 50%(I)
american-history-x,66%(M) -- 69%(I)
to-the-ends-of-the-earth-2019,72%(M) -- 78%(I)
raising-arizona,57%(M) -- 71%(I)
the-piano,68%(M) -- 67%(I)
the-virgin-suicides,67%(M) -- 69%(I)
the-matrix,77%(M) -- 77%(I)
vagabond,78%(M) -- 84%(I)
boogie-nights,80%(M) -- 92%(I)
au-hasard-balthazar,77%(M) -- 76%(I)
argo,53%(M) -- 48%(I)
